Country,Species,Value
Australia,Mammals,377
Australia,Birds,798
Australia,Reptiles,"1,085.00"
Australia,Amphibians,239
Australia,Fish,"5,342.00"
Australia,Marine Fish,"5,058.00"
Australia,Freshwater Fish,315
Australia,Vascular plants,"22,949.00"
Australia,Mosses,"2,020.00"
Australia,Lichens,"3,880.00"
Australia,Invertebrates,"114,940.00"
Austria,Mammals,104
Austria,Birds,229
Austria,Reptiles,14
Austria,Amphibians,21
Austria,Fish,99
Austria,Marine Fish,
Austria,Freshwater Fish,99
Austria,Vascular plants,"3,054.00"
Austria,Mosses,"1,016.00"
Austria,Lichens,"2,100.00"
Austria,Invertebrates,"53,464.00"
Belgium,Mammals,84
Belgium,Birds,198
Belgium,Reptiles,10
Belgium,Amphibians,19
Belgium,Fish,142
Belgium,Marine Fish,99
Belgium,Freshwater Fish,43
Belgium,Vascular plants,"1,818.00"
Belgium,Mosses,521
Belgium,Lichens,838
Belgium,Invertebrates,"5,238.00"
Canada,Mammals,222
Canada,Birds,691
Canada,Reptiles,45
Canada,Amphibians,46
Canada,Fish,"1,392.00"
Canada,Marine Fish,"1,229.00"
Canada,Freshwater Fish,163
Canada,Vascular plants,"5,304.00"
Canada,Mosses,"1,405.00"
Canada,Lichens,"2,677.00"
Canada,Invertebrates,"31,471.00"
Chile,Mammals,185
Chile,Birds,510
Chile,Reptiles,140
Chile,Amphibians,65
Chile,Fish,"1,272.00"
Chile,Marine Fish,"1,182.00"
Chile,Freshwater Fish,72
Chile,Vascular plants,"6,103.00"
Chile,Mosses,923
Chile,Lichens,"1,383.00"
Chile,Invertebrates,"12,220.00"
Colombia,Mammals,543
Colombia,Birds,"1,954.00"
Colombia,Reptiles,638
Colombia,Amphibians,871
Colombia,Fish,"4,216.00"
Colombia,Marine Fish,"2,600.00"
Colombia,Freshwater Fish,"1,603.00"
Colombia,Vascular plants,"38,140.00"
Colombia,Mosses,"1,640.00"
Colombia,Lichens,"1,761.00"
Colombia,Invertebrates,"22,745.00"
Costa Rica,Mammals,241
Costa Rica,Birds,890
Costa Rica,Reptiles,196
Costa Rica,Amphibians,191
Costa Rica,Fish,"2,012.00"
Costa Rica,Marine Fish,
Costa Rica,Freshwater Fish,
Costa Rica,Vascular plants,"1,943.00"
Costa Rica,Mosses,4
Costa Rica,Lichens,
Costa Rica,Invertebrates,447
Czechia,Mammals,92
Czechia,Birds,221
Czechia,Reptiles,13
Czechia,Amphibians,21
Czechia,Fish,80
Czechia,Marine Fish,
Czechia,Freshwater Fish,80
Czechia,Vascular plants,"2,256.00"
Czechia,Mosses,886
Czechia,Lichens,"1,526.00"
Czechia,Invertebrates,"32,000.00"
Denmark,Mammals,71
Denmark,Birds,241
Denmark,Reptiles,8
Denmark,Amphibians,15
Denmark,Fish,238
Denmark,Marine Fish,
Denmark,Freshwater Fish,55
Denmark,Vascular plants,"2,918.00"
Denmark,Mosses,452
Denmark,Lichens,"1,002.00"
Denmark,Invertebrates,"4,270.00"
Estonia,Mammals,66
Estonia,Birds,234
Estonia,Reptiles,5
Estonia,Amphibians,11
Estonia,Fish,103
Estonia,Marine Fish,66
Estonia,Freshwater Fish,54
Estonia,Vascular plants,"2,013.00"
Estonia,Mosses,598
Estonia,Lichens,556
Estonia,Invertebrates,"10,371.00"
Finland,Mammals,71
Finland,Birds,253
Finland,Reptiles,6
Finland,Amphibians,10
Finland,Fish,88
Finland,Marine Fish,25
Finland,Freshwater Fish,63
Finland,Vascular plants,"2,628.00"
Finland,Mosses,929
Finland,Lichens,"1,898.00"
Finland,Invertebrates,"14,647.00"
France,Mammals,125
France,Birds,396
France,Reptiles,38
France,Amphibians,35
